Channelid,subscribercount,channelname,total_estimated_revenue,total_views,video_count
UC3uTUlmgECBnsP777U4GPKQ,13700000,CS Bisht Vines,21580497.6,215804976,1
UCPXTXMecYqnRKNdqdVOGSFg,13700000,TV9 Telugu Live,2072844.4,20728444,22
UCJekW1Vj5fCVEGdye_mBN6Q,13600000,SAMAA TV,75334.9,753349,7
UCSx_w4q5PkAOg9i45uMFHmA,13600000,AD-WISE MEDIA ACTION MOVIEPLEX,3065341.9,30653419,3
UCjJKg01HAP01xCLVhDmnLhw,13600000,Red Chillies Entertainment,12746417.4,127464174,2
UCF9IpcBgYvMS3GKkM_xwiqA,13600000,पेप्पा पिग हिंदी - आधिकारिक चैनल,34802106.3,348021063,8
UCr-KG8Ffr6xztQwV5MAyh3Q,13500000,Ketan mehta,26146962.4,261469624,1
UCuFwzKrS0wE43CSkyaHBGiQ,13500000,SagaHits,178188621.2,1781886212,27
UCNEKMkg_DG8eAyR1BNWsSvw,13400000,OGGY,11685.3,116853,2
UC9TgvYNUsMBPl6J2xbL-4qg,13200000,Oggy Hindi - हिन्दी,118676764.7,1186767647,16
UCdOSeEq9Cs2Pco7OCn2_i5w,13200000,TV9 Marathi,2653007.9,26530079,222
UCnqA9rYxHah-HY2RzGXWLFg,13100000,Bollywood Premium,1742314.3,17423143,2
UCxd6ifFZycyUB45d2t9VPQw,13100000,TheMermaidscales,11379351.7,113793517,1
UCuB7zkQVpcPKzHYJn45vM9w,13100000,RDC Gujarati,41405276.5,414052765,8
UCgVg6dmZHCxze_ay0bolPew,13100000,Examपुर,6067.5,60675,2
UCOo61v1PPAjoN2exxYAzdAw,13000000,Single Track Studio,208528309,2085283090,19
UChUHOEe7zgYmrv7a_LlpNng,12800000,Jungle Beat,554954.2,5549542,1
UCv3rFzn-GHGtqzXiaq3sWNg,12800000,ABP ANANDA,9998.9,99989,5
UCOicc9kd58k_XR3D7bTx8oA,12700000,Rico Animations,6816361.1,68163611,1
UCGbofRROopWrumVob5w61OA,12700000,Caso Cerrado,1110178.7,11101787,1
UCMDQxm7cUx3yXkfeHa5zJIQ,12600000,YouTube Viewers,770882.3,7708823,1
UChtEvBpe2GQkVzzxvMLLUHA,12400000,AP International,9032322,90323220,14
UCf2-GdOkxwOj3sEQkarAviw,12400000,Colors Bangla,1128996.9,11289969,6
UCnofQ65yrqUslv1am59PWsw,12400000,Haste Raho,1662610.3,16626103,1
UCoY_p16GEbOQPgES1-wXpYg,12300000,ETV Dhee,43819020.1,438190201,50
UCp_r6Z-Oh0YTf-ym71z5Nqg,12100000,Asianet,395518.6,3955186,12
UCsyoNsqE37tZIkuvqVPTa7g,12100000,Hindi Fairy Tales,35677370,356773700,1
UC-JFyL0zDFOsPMpuWu39rPA,12100000,Thanthi TV,464011.8,4640118,21
UC3YyphqHJoiMPT5h9aXMNUA,12100000,Historias Curiosas,27977.8,279778,1
UC8Z-VjXBtDJTvq6aqkIskPg,12000000,Polimer News,620791.9,6207919,11
UCF2ltLX1dnPa6-L1paPaMzw,12000000,Green TV Entertainment,3209534.8,32095348,8
UCIobY5Y-ly9Bo458yjy36OQ,12000000,B4U Bhojpuri,22557878.3,225578783,11
UC82o9tQyo_cJhtyoFi-ROEw,12000000,Zee Marathi,20217688.1,202176881,156
UCbf0XHULBkTfv2hBjaaDw9Q,11900000,News18 Bangla,8350.1,83501,2
UCfCv0ckR89HTy2ASEgZHNSg,11800000,Happy Bachpan,1402171.8,14021718,2
UCVzLLZkDuFGAE2BGdBuBNBg,11800000,Bluey - Official Channel,2207971.2,22079712,3
UC8dnBi4WUErqYQHZ4PfsLTg,11800000,Tv9 Kannada,527839.9,5278399,74
UCL0pM5-vrLp3Oy9PXzpqXpA,11800000,prashu__baby,10692156.7,106921567,7
UCR1Jltq7vMzGQVtRd-DR5AA,11800000,NickandCarrie,1154873.8,11548738,1
UCJF4y2nyCCrDKTgA7dxz1Qw,11800000,Star Maa,1121915.2,11219152,15
UCXjhJbviBl0M4JAC3cxDXqA,11700000,TeluguOne,16667151.3,166671513,9
UC2ViPu8EVMP8Eo1Ob7yWEkg,11700000,NRFM-VLOGS,6905887.4,69058874,8
UCKQKIY2YlI4L5QVg7hhfjrQ,11700000,Dharma Productions,20826413.8,208264138,2
UCCgLMMp4lv7fSD2sBz1Ai6Q,11700000,OTV,275657.9,2756579,28
UCc_ExYKEewFxSprpNUzxXiw,11700000,Kurulus Osman Urdu by atv,112285829.1,1122858291,112
UCnrG75VRwdlp2wtwfpOCBRQ,11700000,Sanam,34304893.1,343048931,1
UCID-e04-H5Luw7tKq25QS-w,11600000,G Series Music,35663555.9,356635559,2
UCDCMjD1XIAsCZsYHNMGVcog,11600000,V6 News Telugu,139874.9,1398749,2
UClWGlyUXBAS9QhaHmoZjEUA,11500000,Sagar's Kitchen,4279580.6,42795806,4
UCbYXVxwDEWc9sIt6yZhweqQ,11400000,Nav Haryanvi,235613.4,2356134,1
UC8-4DBG_s3OvpuNFdEYxnFA,11400000,Izabela Stress,2433066.4,24330664,1
UC0PTktRYpZXb6On0_zFKWIg,11200000,JioHotstar,4416856.7,44168567,2
UCW91g3oy4NPPkhvptikjsbg,11200000,Ishtar Bhojpuri,41852402.8,418524028,6
UCzN2cEdV5dqr9IzEz1S7MCQ,11100000,Multi DO Challenge Hindi,7283037.1,72830371,1
UCf8w5m0YsRa8MHQ5bwSGmbw,11100000,asianetnews,42260.5,422605,11
UCnO0Km5GnYKBVUEUkHsNQeA,11000000,Sun Bangla,15273623.1,152736231,50
UCHiL-zHyeOnjb44ZcmZpIMw,11000000,Bolly Kick,2635751.9,26357519,1
UCYlh4lH762HvHt6mmiecyWQ,10900000,Sun News,326750.1,3267501,5
